Department,Major,Degree,School,Course Title,Course Description,Cost
Correction & Rehabilitation,Human Resources,Masters (MA/MS/MPH/etc.),University of Maryland - University College,FINANCIAL DECISION MAKING FOR MANAGERS,"Knowledge of the fundamental concepts of financial accounting and economics, including opportunity cost, the time value of money, and financial analysis. An investigation of financial decision making in business, government, and not-for-profit organizatio",0
Human Resources,None,Non-Degree,MD SHRM State Council,THE MD SHRM STRATEGIC BUSINESS COURSE,Managing Individual & Organizational Change: Everyone is engaged in the process of managing change. Participants will learn how to understand the five stages of the change process and use techniques to help people who are resisting change. They will trans,640
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),Mount St Mary's University,MHA 501 ORGANIZATIONAL COMMUNICATION,"Oral and written forms of communication are vital for the organizational, interpersonal, and leadership skills for the health care administrator. The ability to organize and communicate thoughts in an effective, concise, and logical manner is of paramount",261
Transportation,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - College Park,ACCOUNTING 608 FRAUD EXAMINATION AND ACCOUNTING ETHICS,"A study of the nature of fraud, elements of fraud, fraud prevention, fraud detection, fraud investigation, use of controls to prevent fraud, and methods of fraud resolution. Emphasis is on the employment of forensic accounting techniques to analyze what i",1374
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTRODUCTION TO GEOGRAPHY ( # 81406-6980),"An introduction to the broad field of geography. Emphasis is on concepts relevant to understanding global, regional, and local issues.",798
Health & Human Services,Not Listed,Certificate,BOSTON UNIVERSITY,FOUNDATION IN AGING CERTIFICATE,"Gain the knowledge and skills necessary for effective practice in the growing field of aging services. Through five essential modules, the Certificate provides an overview of the major elements of the aging process from a biological, psychological, social",500
Police,Not Listed,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,COUC 501 - D08,Ethical & Legal Issues in Counseling,825
Fire/Rescue Services,Other/Misc.,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore County,EHS 630 ISSUES AND PROPOSALS,"This course provides students with the opportunity to do an in-depth analysis of a current issue of the student's choice in emergency healthcare and present a project proposal based on this issue. The semester will begin with issues discussion, and procee",1530
Fire/Rescue Services,Nursing,AA,MONTGOMERY COMMUNITY COLLEGE,NURSING IN HEALTH ILLNESS,"Introduces common alterations in physiologic processes that affect basic human needs. Related nursing care, developmental and pharmacologic principles, and advanced psychomotor skills are taught.",448
Fire/Rescue Services,Nursing,AA,MONTGOMERY COMMUNITY COLLEGE,NURSING IN MENTAL HEALTH ILLNESS,"First of two related courses (with MH 102). An introduction for beginning mental health students in their training toward becoming responsible, aware agents-for-change in their communities. MH 101 covers history, concepts, roles, and institutions of the m",448
Correction & Rehabilitation,Psychology,Masters (MA/MS/MPH/etc.),ARGOSY UNIVERSITY,APPRAISAL AND ASSESSMENTS,"This course provides an in-depth examination of measurement strategies and psychometric properties, for the assessment of aptitudes, intelligence, interests, performance, and personality of diverse populations. Ethical, legal, and social issues in test theory, construction, and evaluation are examined.",1830
Transportation,Civil and Environmental Engineering,Bachelors (BA/BS),MONTGOMERY COMMUNITY COLLEGE,CHEM 135 - GENERAL CHEMISTRY FOR ENGINEERS,"Covers the nature and composition of matter, solutions, chemical reactions, equilibria, kinetics, thermodynamics, and electrochemistry with engineering applications. A one-semester general chemistry course designed for students majoring in engineering, except for biological resources engineering, chemical engineering, or general engineering majors. Not open to students who have completed CHEM 131 and CHEM 132 . PREREQUISITE(S): MATH 093 , MATH 096 or a grade of C or better in MATH 117A or equivalent; completion within the last five years with a grade of C or better or one year of high school chemistry or CHEM 099 or consent of department. Assessment Level(s): ENGL 101 /ENGL 101A , READ 120 . Three hours lecture, one hour discussion, three hours laboratory each week. Formerly CH 135.

4 semester hours 

Course Outcomes:
Upon course completion, a student will be able to:
-	Use dimensional analysis as a technique for solving problems and report the answer with the appropriate number of significant figures.
-	Do mole, solution concentration, and stoichiometry calculations, including solution stoichiometry.
-	Calculate the magnitude and direction of heat changes for physical and chemical changes.
-	Name and write symbols for elements, ions, and compounds.
-	Write balanced equations and predict the products of various types of reactions.
-	Describe the major components of the atom and their locations in the atom.
-	Describe the qualitative behavior of gases, liquids, solids, and solutions and the quantitative behavior of gases.
-	Use the Periodic table to write electron configurations and explain periodic trends.
-	Describe the type of bonding forces in a compound and the types of intermolecular forces that compound exhibits as a pure substance and in aqueous solution.
-	Use Lewis dot structures and VESPER theory to describe the molecular geometry and polarity of simple compounds.
-	Write kinetics rate expressions in terms of reactants and products; perform chemical kinetics calculations, including determination of rate laws, reaction rate constants, and application of first and second order integrated rate laws.
-	Explain the effect of temperature on reaction rate; determine the activation energy, and explain catalysis.
-	Explain the relationship between reaction rate and chemical equilibrium.
-	Write equilibrium constant expressions, determine equilibrium constants, determine whether equilibrium has been established, and calculate equilibrium concentrations.
-	Use LeChatelier's Principle to predict the effects of concentration, pressure, and temperature changes on equilibrium mixtures.
-	Determine and then use Ka, Kb, and Kw to calculate solute concentrations and pH in aqueous acidic and basic solutions.
-	Explain enthalpy, entropy, free energy. Calculate thermodynamic quantities (?H, ?S, and ?G) for chemical reactions.
-	Describe the differences between galvanic and electrolytic electrochemical cells; determine standard cell potentials.
-	Locate safety equipment and work safely in the laboratory.
-	Demonstrate proper waste disposal.
-	Successfully use chemistry laboratory techniques such as filtration, precipitation, weighing, and titration.
-	Make observations, collect data, and do calculations.
-	Apply chemical principles to explain the results of experimental observations and calculations.",576
Police,Psychology,Other,The Chicago School of Professional Psychology,BASIC INTERVENTION: SYSTEMS (FAMILY),Basic Intervention: Systems (Family). Communication dynamics and therapeutic intervention to treat family conflict,1703
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,ALCOHOL IN U.S. SOCIETY,"An interdisciplinary examination of the use and abuse of the drug alcohol from the perspectives of psychology, physiology, sociology, medicine, counseling, law and public health. The aim is to examine current research and trends in the treatment of alcohol abuse and dependence (including prevention, assessment, and intervention) and to explore the history, etiology, effects, and current treatment practices. The effects of alcohol throughout the lifespan are explored in relation to gender, families, race, age, the workplace, and public safety.",753
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,HISTORY OF TERRORISM,"A survey of terrorism in the modern world, investigating the ideology of political violence since 1789. Topics include the organization, aims, arms, financing, and composition of terrorist groups, from the 1880s in Russia to the present day worldwide. Various interpretations of the terrorist phenomenon are discussed. The goal is to use primary and secondary historical resources to explore how terrorism flourishes in the contemporary world, how the United States and international political organizations grapple with strategic planning, and operational procedures to stem the threat to national and international security.",753
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,HISTORY OF VIOLENCE IN AMERICA,"An examination of the complex phenomenon of domestic violence from a multidisciplinary perspective that integrates individual, social, political, cultural/ethnic, economic, legal, and medical viewpoints. The aim is to evaluate research and theoretical models of domestic violence; assess institutional, community, and individual responses to domestic violence; and locate effective resources. Topics include neglect and the physical, emotional, and sexual abuse of children, partners, and the elderly. Discussion also covers response systems and mechanisms to prevent and treat violence.",324
Environmental Protection,Job Related,Certificate,GEORGE MASON UNIVERSITY,PROJECT MANAGEMENT ESSENTIALS AND BEST PRACTICES,"Organizations are successfully using project management concepts to deal with increasingly competitive markets, financial pressures to improve performance, restructuring, and globalization. Project management provides a structure for dealing with the  fas",1395
Environmental Protection,Job Related,Certificate,GEORGE MASON UNIVERSITY,PROJECT MANAGEMENT INTEGRATION WITH MICROSOFT PROJECT 2007,"This two-day course focuses on the application of Microsoft Project to planning and managing projects and requires a working knowledge of Microsoft Project Professional 2010 (MS Project). While the emphasis is on using the PMBOK Guide, students learn how",435
Correction & Rehabilitation,Mechanical Engineering,Bachelors (BA/BS),University of Maryland - College Park,ELECTRONICS AND INSTRUMENTATION ONE,"Students learn fundamental concepts of electronics, assembly of electronic components into functional circuits, and integration of functional electronic devices and circuits into a system. In the lab component, students will learn to assemble and evaluate circuits and systems.",897
General Services,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,FIN 100        PRINCIPLES OF FINANCE,"Serves as a foundation course in business finance. Provides a 
conceptual framework for the financial decision-making process and introduces tools and techniques of finance including financial mathematics, capital budgeting, sources of funds and financial",1725
General Services,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,SCI 110     INTRODUCTION TO PHYSICAL SCIENCE,"Introduces the student to basic concepts from the physical sciences such as motion, force, energy, heat, electricity, magnetism and the atomic theory of matter. Discusses the scientific principles that underlie everyday phenomena, modern technologies and",105
Police,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,PUAD 734 STRATEGIC PLANNING,"Covers the steps involved in developing a strategic plan for public and nonprofit organizations. Students learn how to perform a stakeholder analysis, conduct a situation analysis, develop appropriate mission statements, design effective performance measures and implement a strategic plan.",900
Police,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,PUAD 798 PROBLEM SOLVING IN PA,"Capstone course requires students to integrate and apply analytical skills, knowledge bases, managerial principles and normative frameworks learned in M.P.A. core courses to concrete management situations",900
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,ECONOMICS,"Introduces basic concepts, the national accounts, national income analysis, business cycles and the monetary system with an essentially macro-economic approach.",354.25
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,ALGEBRA,"Develops introductory algebra skills. Topics include variables and algebraic expressions, order of operations, graphing and solving linear equations, like terms, the distributive law, applications of linear equations, systems of linear equations, polynomi",354.25
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,SOCIOLOGY,Introduces the student to the study of society and the impact of society upon the individual. Exemplifies social processes in cultural patterns and institutions. Examines group values at various levels of human relationship.,354.25
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,HEALTH NUTRITION,"Presents the basic principles of human nutrition with emphasis on
the nutrients and factors that affect their use in the human body.",354.25
Health & Human Services,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,PROJECT MANAGEMENT ESSENTIALS AND BEST PRACTICES (PMC001),This course is intended as a prerequisite to the Project Management Professional (PMP)  Exam Prep and the Certified Associate in Project Management (CAPM)  Exam Prep. It provides the mandatory classroom hours as well as the framework for organizational,504
Health & Human Services,Pre-Nursing,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,GENERAL BIOLOGY,"Introduction to biology for non-science majors with both lecture and laboratory components. this course surveys ecology, chemistry of life, cell physiology, human organ systems, genetics, and molecular genetics. The ability to think critically and to draw",392
Investment Trustees,None,Non-Degree,American Institute of Certified Public Accountants,CPEXPRESS FINANCE TRANSFORMATION MANAGE DISPUTE CERTIFICATE,Continue professional education for CPAs,569
Correction & Rehabilitation,Business/Admin./Mgmt.,Certificate,Villanova University,SIX SIGMA GREENBELT CERTIFICATION,"Six Sigma, is a system designed to increase efficiency and enhance effectiveness in any organization. Through the use of various analytical procedures and concepts, the Six Sigma curriculum teaches individuals to insightfully identify organizational proc",1782
Correction & Rehabilitation,Mechanical Engineering,Bachelors (BA/BS),University of Maryland - College Park,FLUID MECHANICS,"Principles of fluid mechanics. Mass, momentum and energy conservation. Hydrostatics. Control volume analysis. Internal and external flow. Boundary layers. Modern measurement techniques. Computer analysis. Laboratory experiments.",642.5
Human Resources,None,Non-Degree,MD SHRM STATE COUNCIL,2012 MD SHRM STRATEGIC BUSINESS COURSE:  MANAGING INDIVIDUAL AND ORGANIZATIONAL CHANGE,Managing Individual & Organizational Change: Everyone is engaged in the process of managing change. Participants will learn how to understand the five stages of the change process and use techniques to help people who are resisting change. They will trans,640
Police,Law,Juris Doctor,University of Maryland - Baltimore,BUSINESS 101,"This course provides introductory concepts in business. It is intended for students who are interested in studying business law, but who have no prior knowledge or experience in business. Topics of coverage include basic concepts in accounting, financial",769
Police,Psychology,Masters (MA/MS/MPH/etc.),ARGOSY UNIVERSITY,SEMINAR,This second-year course provides a forum to examine issues related to students' field experience or the development of their special topics papers. Students completing the Master's Thesis produce an original project examining a forensic psychology issue t,1830
Correction & Rehabilitation,Health & Human Services,Bachelors (BA/BS),CHAMBERLAIN COLLEGE OF NURSING,COMMUNITY HEALTH,"This course, for RN to BSN option students, focuses on concepts of health promotion, health maintenance, education, disease prevention and coordination of care for individuals, families or communities. The course introduces students to concepts in epidemi",1830
General Services,Computer Systems Management,AA,Montgomery College Rockville Campus,WEB APPLICATION DEVELOPMENT USING PHP & MYSQL,An introduction to the creation and maintenance of data- driven Web sites using PHP and MySQL. Create a MySQL database and maintain the database dynamically using the programming language.,336
General Services,Computer Systems Management,AA,Montgomery College Rockville Campus,ADVANCED DATABASE APPLICATION,"Intended for the intermediate database user, this course covers topics such as sub forms, integration of databases with other applications, customization, and macros. It also introduces VBA. Together with CA 141 this will create a complete and thorough database series.",336
Finance,Computer Science,AA,Montgomery College Rockville Campus,SIGN LANGUAGE  ASL I,The course is designed for students who plan to enter fields in which they would work with Deaf people on a daily basis.,336
Health & Human Services,African-American Studies,Ph.D. (DCS),HOWARD UNIVERSITY,PROBLEMS OF SOUTHERN AFRICA - POLS 271 - 01,Focuses on the economic and health problems in sub-saharan Africa,305
Finance,Computer Science,AA,Montgomery College Rockville Campus,MATHEMATICS,"For students who need review of the fundamentals of arithmetic, a thorough introduction to signed numbers, and a presentation of the basic concepts of algebra. Topics include proportion and percent, polynomials, factoring, linear equations and inequalities in one variable including systems, graphing, integer exponents and quadratic equations. Applications are included throughout the course.",336
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTRODUCTION TO HEALTH CARE ADMINISTRATION,An introduction to the principles of management and leadership as the foundations for the administration of health care products and service delivery. The evolution of management principles and practices are traced and the bases for health care administra,1374
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERCULTURAL COMMUNICATION AND LEADERSHIP,"A study of organizational communication, leadership, and decision-making skills essential for all managers in intercultural environments. Theories of culture are examined and applied in relation to leadership style and practices, as well as to organizatio",456
Correction & Rehabilitation,Accounting (Business),Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,STRATEGIC MANAGEMENT CAPSTONE,"Examines the strategic management process and implementation of successful business strategies in the highly competitive and dynamic global environment. Analyzes the impact of technology, government policy, and world economic and political forces on strat",1830
Environmental Protection,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ACCOUNTING 213,"A critical examination, analysis, and application of the tax law for individuals. Interrelated subjects include income inclusions and exclusions, property transactions, nontaxable exchanges, capital asset transactions, general deductions and losses, busin",224
Police,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,FOOD SERVICE SANITATION,"This course meets the 15 clock hours plus test required by the Maryland State Department of Health and Mental Hygiene. Topics include foodborne diseases, importance of employee personal hygiene and habits, and approved procedures for handling utensils and",112
Health & Human Services,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),American Public University System,RESEARCH METHODS IN SOCIAL SCIENCE,"This course presents the research methods commonly used by all social scientists. Consequently, the course will prepare the student to understand material and issues associated with but not limited to the logic of the scientific method, research design, a",975
Finance,Computer Science,AA,Montgomery College Rockville Campus,WORD PROCESS APPLICATION,Course is designed to enable the student to aquire and apply word processing skills by studing word processing software currently used in business.,168
Technology Services,Information Technology,Bachelors (BA/BS),University of Maryland - University College,IFSM 300 (INFORMATION SYSTEMS IN ORGANIZATIONS),An overview of information systems and how they provide value by supporting organizational objectives. The goal is to analyze business strategies to recognize how technology solutions enable strategic outcomes and to identify information system requiremen,720
Health & Human Services,Not Listed,Certificate,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,GERONTOLOGY,Focuses on a variety of current health issues to enable students to make prudent personal health decisions.,110
Transportation,None,Non-Degree,Montgomery College Rockville Campus,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,Geographic information systems (GIS) integrates the application of spatial data handling procedures with the study of geographic problems. The course utilizes computer software designed for the study of environmental problems based upon data compiled from,336
Correction & Rehabilitation,Criminal Justice,AA,COMMUNITY COLLEGE OF BALTIMORE COUNTY,FORENSIC BIOLOGY,"Designed for students with a broad interest in forensic science, as an option for students majoring in criminal justice, and for those who wish to prepare for transfer to a 4-year college or university forensic science program. It stresses the integration of the underlying principles of physical science, cell biology, anatomy and physiology as they apply to forensic biology. It emphasizes the process of science through the laboratory portion that also introduces students to techniques used in forensic laboratories.",808
Correction & Rehabilitation,Criminal Justice,AA,COMMUNITY COLLEGE OF BALTIMORE COUNTY,INTRO TO STATISTICAL METHOD,"Develops an understanding of statistical methodology and use of critical judgment in analyzing data sets; covers descriptive statistics, introduction to probability, normal and binomial distributions, hypothesis testing, confidence intervals, regression and correlation, chi-square distribution, and introduction to ANOVA. A statistical computer package, e.g. Minitab, is introduced as a computational tool.",808
Fire/Rescue Services,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,MICROBIOLOGY,"Provides an overview of microorganisms, emphasizing bacteria including the structure, metabolic activities, genetics, and mechanisms of control of microorganisms as well as the relationships of microorganisms to humans, the environment, disease, and immun",330
Fire/Rescue Services,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,CHILD PSYCHOLOGY,"Emotional, intellectual, social, physiological, and cognitive growth of the child based on pertinent psychological principles, research findings, and methodology. Critical periods in maturation and learning.",672
Fire/Rescue Services,Other/Misc.,Bachelors (BA/BS),University of Maryland - University College,EMERGENCY RESPONSE PREPAREDNESS AND PLANNING (EMGT 304),"A study of the planning process, format, and response procedures for disasters and emergency events. The goal is to evaluate risk vulnerabilities and capabilities, design an emergency plan, and evaluate and critically assess an emergency plan. Topics incl",798
Health & Human Services,None,Non-Degree,Montgomery College Rockville Campus,COMPUTERS USE AND MANAGEMENT,"An introduction to computers, operating systems, and Internet basics. Topics include file and hard drive management, customizing the Windows environment, transferring data between applications, installing and running hardware and software, utilizing e-mai",336
Libraries,Other/Misc.,Masters (MA/MS/MPH/etc.),University of Maryland - College Park,LBSC 735 LEGAL ISSUES IN MANAGING INFORMATION,"Legal issues related to collecting, maintaining, and providing access to information materials. Includes ownership, copyright, privacy, freedom of information, and related issues in archives, libraries and other settings. 

",915
Police,Public Administration,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD 623 BUREACRACY AND THE POLITICAL PROCESS,"Organizational, functional and administrative aspects of the federal bureaucracy, the interrelationships among federal, state and local agencies, and public administration as a part of the political process",710
Police,Public Administration,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD 624 PUBLIC ADMINISTRATION THEORY,Development and evolution of public organizational structures. A study of the postulated models and hypotheses of future needs for government organization.,710
Police,Public Administration,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD 628 STATISTICAL APPLICATIONS IN PUBLIC ADMINSTRATION,"Quantitative analysis for public administrators. Topics include statistical analysis, the computer in processing data and the presentation of findings.",710
Recreation,None,Non-Degree,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ITI123: ANDROID DEVELOPMENT I,"Learn to create and publish Android apps for mobile devices including smartphones, tablets, and video and music players. Use the Android Software Development Kit (SDK) and the Eclipse Integrated Development Environment (IDE) to build applications with activities and intents. Design and implement a customized graphical user interface, and create code to monitor events and respond to user interaction. Use views to display images and web content in your application. Learn how to export, distribute, and publish completed apps on the Android Market",265
Recreation,None,Non-Degree,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ITI081: IPHONE AND IPAD FOR APPLICATION PROGRAMMING-LEVEL I,"Learn how to develop, design, and publish an app. Application development will be done using objective-C with Xcode and Interface Builder as the development tools. Topics such as view controllers, user interactions, gesture recognition, accelerometers and core location will be covered.",299
Health & Human Services,Health & Human Services,Bachelors (BA/BS),MONTGOMERY COMMUNITY COLLEGE,AMERICAN SIGN LANGUAGE,This course is about learning about sign language to help less fortune people,345
Recreation,None,Non-Degree,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ITI124: ANDROID DEVELOPMENT II,"Add more advanced features to your Android apps. Learn how to enable apps to create and store data. Share data across packages using content providers. Connect your applications to the outside world using SMS messaging, e-mail, and web connections. Use geographic location-based services to display and manipulate Google Maps. Learn about background services, and how to manage long-running tasks. Learn how to test and publish completed Android Apps.",299
Recreation,None,Non-Degree,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ITI082: IPHONE AND IPAD FOR APPLICATION PROGRAMMING-LEVEL II,"This course begins with hands-on familiarity with the iPhone's Cocoa touch development, including Xcode and Interface Builder. Learn to use UIKit framework to develop iPhone applications. Topics such as Views and Controllers, Navigation, and Table Views will be discussed. For application persisting data Core Data will be used. Demonstration of some fundamental techniques learned during this course to program the iPad.",299
Recreation,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,ITI133: HTML5: DESKTOP AND MOBILE--LEVEL I,"Learn the basic building blocks of designing and creating Web sites optimized for modern computers, tablets, and mobile phones using HTML5 and CSS. Topics include basic HTML5 elements and attributes, including hyperlinks, images, and tables; techniques to",211.33
Recreation,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,ITI134: HTML5: DESKTOP AND MOBILE--LEVEL II,"Enhance and optimize your Web site using HTML5 and CSS. Topics include advanced HTML5 elements and attributes, including forms, audio, video, and canvas; more advanced techniques to effectively create multiple column layouts using new HTML5 structural ele",211.33
Recreation,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,ITI105: ADOBE PHOTOSHOP I - FOUNDATION SKILLS,"Learn to modify images; define image properties; work with selections, layers, and colors; make total/color adjustments; adjust image lightness and darkness; resize images; repair image flaws using the clone tool, healing brushes, and red-eye tool; and us",211.34
Technology Services,Information Technology,Non-Degree,NORTHERN VIRGINIA COMMUNITY COLLEGE,ITE 115 - INTRO COMPUTER APPL/CONCEPTS,"Covers computer concepts and internet skills and uses a computer software suite that includes word processing, spreadsheet, database, and presentation software to demonstrate skills required for computer literacy. Lecture 3 hours per week.",406.95
Technology Services,Information Technology,Non-Degree,NORTHERN VIRGINIA COMMUNITY COLLEGE,ITN 100 - INTRO/TELECOMMUNICATIONS,"Surveys data transmission systems, communication lines, data sets, network, interfacing, protocols, and modes of transmission. Emphasizes network structure and operation. Lecture 3 hours per week.",406.95
Technology Services,Information Technology,Non-Degree,NORTHERN VIRGINIA COMMUNITY COLLEGE,ITN 260 - NETWORK SEC. BASICS,"Explores the basics of network security in depth. Includes security objectives, security architecture, security models and security layers. Discusses risk management, network security policy, and security training. Discusses the five security keys: confid",406.95
Technology Services,Information Technology,Non-Degree,NORTHERN VIRGINIA COMMUNITY COLLEGE,ITE  221 - E80W   PC HARDWARE & O/S ARCHITECTURE,"Covers instruction about processors, internal functions, peripheral devices, computer organization, memory management, architecture, instruction format, and basic OS architecture.",435.75
Transportation,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,INTRODUCTION TO CARTOGRAPHY,"General introduction to cartography's history, theory, and use of maps. Study of various types of maps, charts, and plans, map scales, coordinates, and projections. Techniques, methods, problems of design, compilation, and construction of maps and graphi",336
Police,Law,Juris Doctor,"Shemer Bar Review, LLC.",BAR REVIEW,"Shemer Maryland & Multistate Bar Review delivers exam-focused substantive law review and extensive question practice in an interactive, skill-building format.",1061
Police,Social Work,Masters (MA/MS/MPH/etc.),MORGAN STATE UNIVERSITY,GENERAL SOCIAL WORK PRACTICE 1,"This course will introduce students to the complex and unique characteristics of the profession of social work. Students will explore in depth the knowledge base, values and ethics, and practice methodology that make up generalist social work practice. Th",1263
Police,Social Work,Masters (MA/MS/MPH/etc.),MORGAN STATE UNIVERSITY,ORGANIZATIONAL POLICY & LEADERSHIP IN HUMAN SERVICES,"This course will focus on the purpose, development, polices and functions of human service organization within the urban context. Emphasis will be placed on organizational history, theoretical frameworks for human services management, budgeting and fiscal",567
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),COLUMBIA UNION COLLEGE,AMERICAN LITERATURE II,Survey of major American writers from Realist to Contemporary figures.,1230
Police,Criminal Justice,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,BCJ 4701 CRIMINAL JUSTICE ORGANIZATION,"Defines and analyzes criminal justice system organizations including human resources planning and management, research studies, environmental factors, centralized authority, and other issues.",600
Police,Emergency Management,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",CRISIS MANAGEMENT AND COMMUNICATIONS,"An examination of current approaches to crisis definition, issue management, and crisis communications management. Traditional and Web-based approaches to analyzing crisis and communications management issues are applied using appropriate public relations",1374
Fire/Rescue Services,Fire Protection Engineering,Masters (MA/MS/MPH/etc.),University of Maryland - College Park,WILDLAND FIRES: SCIENCE AND APPLICATIONS,,1719
Police,Emergency Management,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",BUSINESS MANAGEMENT,"An introduction to the fundamental concepts of business management and leadership. The objective is to understand the interrelated dynamics of business, society, and the economy. Discussion covers business principles and practices in the context of every",756
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",ELEMENTARY SPANISH ( # 82270-7981),"A continued introduction to the Spanish language. The goal is to listen to, speak, read, and write Spanish in concrete, real-life situations and in culturally appropriate ways.",798
Health & Human Services,Business/Admin./Mgmt.,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,ACCOUNTING QUICKBOOKS I AND II,"Students will learn to establish a chart of accounts, vendor, customer and payroll records, entering typical transactions and preparing standard financial reports for service firms using QuickBooks software.
",147
Health & Human Services,Business/Admin./Mgmt.,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,INTRO TO DATABASE MGMT SYSTEM,Introduction to database management techniques using Microsoft Access. Includes fundamentals of database design and programming with emphasis on relational file processing.,147
Health & Human Services,Business/Admin./Mgmt.,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,COLLEGE ALGEBRA,"Graphing and analysis of functions; study of absolute value, polynomial, rational, radical, exponential, and logarithmic functions; systems of equations and inequalities including algebra of matrices and linear programming.",147
Health & Human Services,Business/Admin./Mgmt.,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,FINANCIAL PLAN & INVESTMENT,"Financial planning concepts, their application, and the risk factor in the management of finances.",147
Correction & Rehabilitation,Nutritional Sciences,Bachelors (BA/BS),COMMUNITY COLLEGE OF BALTIMORE COUNTY,EDUCATIONAL PSYCHOLOGY,"Applies psychological research and principles to educational theory and practice; covers human development, theories of learning and instruction, creating positive learning environments, teaching for learning, assessment and grading, learner differences,",318
Correction & Rehabilitation,Nutritional Sciences,Bachelors (BA/BS),COMMUNITY COLLEGE OF BALTIMORE COUNTY,CONTEMPORARY ISSUES,"Explores current concepts of practical and applied nutrition such as; food selection,  empty calories , current myths and misconceptions, the relationship of nutrients to optimal health, weight control, food preparation, health foods, food additives, food",318
Police,Nursing,AA,COMMUNITY COLLEGE OF BALTIMORE COUNTY,NURSING CONCEPTS,"Prepares students for the nurse generalist in the care of patients in acute care settings. Emphasis is placed on the role of the nursing care of homeostasis, perfusion, oxygenation, metabolism, and nutrition. Supervised simulations and clinical experience",1232
Police,History,Other,UNIVERSITY OF MARYLAND AT SHADY GROVE CENTER,MANAGEMENT AND ORGANIZATIONAL THEORY,"An examination of the four functions of management -- planning, organizing, leading, and controlling -- with emphasis on the application of management concepts and theories to achieve organizational goals. The aim is to develop strategies, goals, and obje",798
Police,History,Other,UNIVERSITY OF MARYLAND AT SHADY GROVE CENTER,COUNTERTERRORISM,"An investigation of counterterrorism (including its historical context), focusing on the evaluation of threats and the formulation of defeat strategies. The aim is to evaluate response strategies, help improve offensive and defensive planning, and constru",798
